ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
SCCO,below_resistance,5.0,174.43,204.82,-14.84,,2,1.59,-0.0257,5,False,65.5,56.3,False,,False,0.44,-20.9,False,True,247.38,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA50
DHR,below_resistance,5.0,195.98,231.52,-15.35,,3,1.13,-0.1642,10,False,79.4,24.2,True,,False,0.89,-18.94,True,False,757.51,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200
UBER,below_resistance,5.0,74.35,97.71,-23.91,,3,2.88,-0.121,12,False,58.3,6.0,True,,False,-2.32,-27.1,True,False,1613.07,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200
VIAV,below_resistance,5.0,42.88,60.43,-29.04,,1,0.0,-0.125,3,False,73.8,47.6,False,,False,-12.53,-29.04,False,True,439.24,only 1 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA50
TMO,below_resistance,4.0,524.71,634.77,-17.34,,2,2.5,-0.2269,5,False,77.0,24.2,True,,False,2.03,-18.36,True,False,1078.3,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; healthy last complete week momentum
KKR,below_resistance,4.0,96.27,152.07,-36.7,,2,1.03,-0.1545,12,False,38.5,0.8,True,,False,4.12,-37.02,True,False,441.42,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; healthy last complete week momentum
COST,below_resistance,3.0,912.97,1026.95,-11.1,,5,2.24,-0.01,7,False,69.8,20.2,True,,False,-0.09,-16.74,False,False,2539.38,5 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; below SMA50
HD,below_resistance,3.0,338.73,390.48,-13.25,,3,0.65,-0.0665,9,False,74.6,36.5,False,,False,2.59,-19.58,True,False,1740.08,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; healthy last complete week momentum
META,below_resistance,3.0,631.48,788.22,-19.88,,3,1.45,-0.0881,12,False,65.1,40.1,False,,False,5.93,-20.43,True,False,11142.3,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; healthy last complete week momentum
HCA,below_resistance,3.0,409.01,517.42,-20.95,,3,2.82,-0.1138,9,False,63.9,38.1,False,,False,4.8,-26.25,True,False,606.17,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; healthy last complete week momentum
LOW,below_resistance,2.0,213.0,267.43,-20.35,,2,2.75,-0.0495,12,False,11.1,7.5,True,,False,2.26,-26.97,False,False,647.26,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; current volatility squeeze; below SMA200; below SMA50; healthy last complete week momentum
ABT,below_resistance,2.0,94.4,131.13,-28.01,,4,3.21,-0.163,12,False,76.2,41.7,False,,False,1.36,-30.25,True,False,1269.26,4 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200
SE,below_resistance,1.0,109.11,192.11,-43.21,,2,1.42,-0.3299,12,False,92.5,29.4,True,,False,13.11,-45.25,True,False,385.0,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; very strong but possibly extended weekly momentum
